sentence_id,token_id,token,true_tag,pred_tag
0,0,﻿,O,O
0,1,:,O,O
,,,,
1,0,सूक्ष्म,O,O
1,1,श्वास,O,O
1,2,नलियों,O,O
1,3,में,O,O
1,4,कोई,O,O
1,5,रोग,O,O
1,6,उत्पन्न,O,O
1,7,हो,O,O
1,8,जाने,O,O
1,9,के,O,O
1,10,कारण,O,O
1,11,जब,O,O
1,12,किसी,O,O
1,13,व्यक्ति,B-PERSON,B-PERSON
1,14,को,O,O
1,15,सांस,O,O
1,16,लेने,O,O
1,17,में,O,O
1,18,परेशानी,O,O
1,19,होने,O,O
1,20,लगती,O,O
1,21,है,O,O
1,22,तब,O,O
1,23,यह,O,O
1,24,स्थिति,O,O
1,25,दमा,O,O
1,26,रोग,O,O
1,27,कहलाती,O,O
1,28,है,O,O
1,29,",",O,O
1,30,इस,O,O
1,31,रोग,O,O
1,32,में,O,O
1,33,व्यक्ति,B-PERSON,B-PERSON
1,34,को,O,O
1,35,खांसी,O,O
1,36,की,O,O
1,37,समस्या,O,O
1,38,भी,O,O
1,39,होती,O,O
1,40,है,O,O
1,41,।,O,O
,,,,
2,0,-,O,O
2,1,जब,O,O
2,2,दमा,O,O
2,3,रोग,O,O
2,4,से,O,O
2,5,पीड़ित,O,O
2,6,रोगी,B-PERSON,B-PERSON
2,7,को,O,O
2,8,दौरा,B-SYMPTOM,B-SYMPTOM
2,9,पड़ता,O,O
2,10,है,O,O
2,11,तो,O,O
2,12,उसे,O,O
2,13,सूखी,O,O
2,14,या,O,O
2,15,ऐठनदार,O,O
2,16,खांसी,O,O
2,17,होती,O,O
2,18,है,O,O
2,19,।,O,O
,,,,
3,0,-,O,O
3,1,जब,O,O
3,2,रोग,O,O
3,3,बहुत,O,O
3,4,अधिक,O,O
3,5,बढ़,O,O
3,6,जाता,O,O
3,7,है,O,O
3,8,तो,O,O
3,9,दौरा,B-SYMPTOM,B-SYMPTOM
3,10,आने,O,O
3,11,की,O,O
3,12,स्थिति,O,O
3,13,उत्पन्न,O,O
3,14,हो,O,O
3,15,जाती,O,O
3,16,है,O,O
3,17,जिससे,O,O
3,18,रोगी,B-PERSON,B-PERSON
3,19,को,O,O
3,20,सांस,O,O
3,21,लेने,O,O
3,22,में,O,O
3,23,बहुत,O,O
3,24,अधिक,O,O
3,25,दिक्कत,O,O
3,26,आती,O,O
3,27,है,O,O
3,28,तथा,O,O
3,29,व्यक्ति,B-PERSON,B-PERSON
3,30,छटपटाने,O,O
3,31,लगता,O,O
3,32,है,O,O
3,33,।,O,O
,,,,
4,0,-,O,O
4,1,दमा,O,O
4,2,रोग,O,O
4,3,से,O,O
4,4,पीड़ित,O,O
4,5,रोगी,B-PERSON,B-PERSON
4,6,को,O,O
4,7,कफ,B-SYMPTOM,B-DISEASE
4,8,सख्त,O,O
4,9,",",O,O
4,10,बदबूदार,O,O
4,11,तथा,O,O
4,12,डोरीदार,O,O
4,13,निकलता,O,O
4,14,है,O,O
4,15,।,O,O
,,,,
5,0,-,O,O
5,1,पीड़ित,O,O
5,2,रोगी,B-PERSON,B-PERSON
5,3,को,O,O
5,4,सांस,O,O
5,5,लेनें,O,O
5,6,में,O,O
5,7,बहुत,O,O
5,8,अधिक,O,O
5,9,कठिनाई,O,O
5,10,होती,O,O
5,11,है,O,O
5,12,।,O,O
,,,,
6,0,-,O,O
6,1,यह,O,O
6,2,रोग,O,O
6,3,स्त्री,B-PERSON,B-PERSON
6,4,-,O,O
6,5,पुरुष,B-PERSON,B-PERSON
6,6,दोनों,O,O
6,7,को,O,O
6,8,हो,O,O
6,9,सकता,O,O
6,10,है,O,O
6,11,।,O,O
,,,,
7,0,-,O,O
7,1,रात,O,O
7,2,के,O,O
7,3,समय,O,O
7,4,में,O,O
7,5,लगभग,O,O
7,6,2,O,O
7,7,बजे,O,O
7,8,के,O,O
7,9,बाद,O,O
7,10,दौरे,O,O
7,11,अधिक,O,O
7,12,पड़ते,O,O
7,13,हैं,O,O
7,14,।,O,O
,,,,
8,0,-,O,O
8,1,रोगी,B-PERSON,B-PERSON
8,2,को,O,O
8,3,रोग,O,O
8,4,के,O,O
8,5,शुरुआती,O,O
8,6,समय,O,O
8,7,में,O,O
8,8,खांसी,O,O
8,9,",",O,O
8,10,सरसराहट,B-SYMPTOM,B-SYMPTOM
8,11,और,O,O
8,12,सांस,O,O
8,13,उखड़ने,O,O
8,14,के,O,O
8,15,दौरे,O,O
8,16,पड़ने,O,O
8,17,लगते,O,O
8,18,हैं,O,O
8,19,।,O,O
,,,,
9,0,-,O,O
9,1,सांस,O,O
9,2,लेते,O,O
9,3,समय,O,O
9,4,अधिक,O,O
9,5,जोर,O,O
9,6,लगाने,O,O
9,7,पर,O,O
9,8,रोगी,B-PERSON,B-PERSON
9,9,का,O,O
9,10,चेहरा,O,B-SYMPTOM
9,11,लाल,O,I-SYMPTOM
9,12,हो,O,O
9,13,जाता,O,O
9,14,है,O,O
9,15,।,O,O
,,,,
